,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
230,17,16,41,ours_temp,25,33,57,1.0517611503601074,52,41
231,17,16,41,Bravyi et al. (qiskit),15,24,42,0.008301973342895508,27,20
232,18,16,41,ours,30,34,104,0.024340152740478516,64,48
233,18,16,41,ours_random,48,63,120,0.02627420425415039,100,74
234,18,16,41,ours_temp,33,40,44,1.0007562637329102,54,29
235,18,16,41,Bravyi et al. (qiskit),25,21,42,0.008157968521118164,32,22
236,19,16,41,ours,39,49,120,0.025565385818481445,80,64
237,19,16,41,ours_random,46,55,136,0.02622365951538086,96,76
238,19,16,41,ours_temp,49,62,69,1.089712142944336,63,40
239,19,16,41,Bravyi et al. (qiskit),23,26,46,0.009317398071289062,34,24
240,0,16,61,ours,63,65,116,0.026395559310913086,76,52
241,0,16,61,ours_random,62,65,134,0.027917146682739258,112,87
242,0,16,61,ours_temp,63,65,116,1.159379005432129,76,52
243,0,16,61,Bravyi et al. (qiskit),46,47,86,0.011446237564086914,84,56
244,1,16,61,ours,62,52,161,0.03107309341430664,113,88
245,1,16,61,ours_random,55,48,166,0.029648780822753906,107,80
246,1,16,61,ours_temp,64,51,133,1.3947811126708984,92,71
247,1,16,61,Bravyi et al. (qiskit),39,31,145,0.012324810028076172,115,94
248,2,16,61,ours,71,70,184,0.031423091888427734,121,97
249,2,16,61,ours_random,69,56,187,0.028867721557617188,118,95
250,2,16,61,ours_temp,70,72,131,1.327510118484497,96,74
251,2,16,61,Bravyi et al. (qiskit),48,25,276,0.01571965217590332,173,149
252,3,16,61,ours,58,75,118,0.029521465301513672,97,72
253,3,16,61,ours_random,63,63,158,0.029187917709350586,111,86
254,3,16,61,ours_temp,47,66,104,1.1983389854431152,83,62
255,3,16,61,Bravyi et al. (qiskit),49,48,189,0.014250755310058594,173,136
256,4,16,61,ours,60,56,112,0.029828548431396484,81,58
257,4,16,61,ours_random,89,78,177,0.03326916694641113,119,91
258,4,16,61,ours_temp,60,56,112,1.4440021514892578,81,58
259,4,16,61,Bravyi et al. (qiskit),35,42,175,0.013252019882202148,110,88
260,5,16,61,ours,54,55,85,0.025260210037231445,84,52
261,5,16,61,ours_random,53,50,137,0.02692270278930664,108,84
262,5,16,61,ours_temp,51,58,63,1.110278844833374,62,42
263,5,16,61,Bravyi et al. (qiskit),36,28,98,0.016399860382080078,82,61
264,6,16,61,ours,21,30,19,0.03020954132080078,17,11
265,6,16,61,ours_random,21,31,27,0.01852560043334961,24,13
266,6,16,61,ours_temp,19,30,14,0.8266620635986328,16,7
267,6,16,61,Bravyi et al. (qiskit),20,32,23,0.012285470962524414,20,14
268,7,16,61,ours,75,67,167,0.048341989517211914,101,73
269,7,16,61,ours_random,78,69,182,0.029119253158569336,108,87
270,7,16,61,ours_temp,69,70,150,1.338454008102417,95,70
271,7,16,61,Bravyi et al. (qiskit),44,47,55,0.009773015975952148,41,22
272,8,16,61,ours,44,49,80,0.023167848587036133,71,47
273,8,16,61,ours_random,43,47,58,0.020643234252929688,62,35
274,8,16,61,ours_temp,33,39,29,0.9149668216705322,40,20
275,8,16,61,Bravyi et al. (qiskit),35,37,35,0.008942842483520508,31,21
276,9,16,61,ours,55,63,150,0.029982566833496094,92,71
277,9,16,61,ours_random,56,60,181,0.031710147857666016,111,86
278,9,16,61,ours_temp,44,56,123,1.2586302757263184,84,59
279,9,16,61,Bravyi et al. (qiskit),41,52,109,0.01164102554321289,89,65
280,10,16,61,ours,77,66,179,0.03210043907165527,102,80
281,10,16,61,ours_random,74,90,207,0.03412675857543945,127,107
282,10,16,61,ours_temp,52,62,93,1.3934326171875,72,50
283,10,16,61,Bravyi et al. (qiskit),51,36,178,0.01583242416381836,118,92
284,11,16,61,ours,67,70,149,0.03178834915161133,97,74
285,11,16,61,ours_random,64,67,178,0.0344843864440918,136,110
286,11,16,61,ours_temp,62,65,137,1.3928368091583252,96,73
287,11,16,61,Bravyi et al. (qiskit),38,34,156,0.013806581497192383,139,114
288,12,16,61,ours,66,70,168,0.03148508071899414,114,90
289,12,16,61,ours_random,42,43,96,0.02629375457763672,76,64
