,n_rep,num_qubits,n_gadgets,method,h,s,cx
416,4,127,2001,ours,5933,4216,18148
417,4,127,2001,qiskit transpile,25767,654,12883
418,4,127,2001,Bravyi et al. (qiskit),208760,3406,105173
419,4,127,2001,Ewout van den Berg (stim),233099,4028,111966
420,5,127,2001,ours,5800,4160,18252
421,5,127,2001,qiskit transpile,25609,624,12635
422,5,127,2001,Bravyi et al. (qiskit),211252,3168,105602
423,5,127,2001,Ewout van den Berg (stim),233429,4020,112424
424,6,127,2001,ours,5800,4141,18307
425,6,127,2001,qiskit transpile,23731,667,11798
426,6,127,2001,Bravyi et al. (qiskit),210332,3198,104776
427,6,127,2001,Ewout van den Berg (stim),225110,3763,110762
428,7,127,2001,ours,5887,3980,18285
429,7,127,2001,qiskit transpile,25463,656,12681
430,7,127,2001,Bravyi et al. (qiskit),207788,3222,103834
431,7,127,2001,Ewout van den Berg (stim),222678,3814,110597
432,8,127,2001,ours,5769,4042,18047
433,8,127,2001,qiskit transpile,24773,664,12252
434,8,127,2001,Bravyi et al. (qiskit),205241,3284,103470
435,8,127,2001,Ewout van den Berg (stim),230368,4089,113424
436,9,127,2001,ours,5879,4147,18093
437,9,127,2001,qiskit transpile,25934,659,12866
438,9,127,2001,Bravyi et al. (qiskit),212000,3349,106463
439,9,127,2001,Ewout van den Berg (stim),232520,4020,113249
440,10,127,2001,ours,5893,4143,18165
441,10,127,2001,qiskit transpile,24793,654,12268
442,10,127,2001,Bravyi et al. (qiskit),205928,3297,104202
443,10,127,2001,Ewout van den Berg (stim),228544,4055,113164
444,11,127,2001,ours,5720,3999,17870
445,11,127,2001,qiskit transpile,24516,653,12096
446,11,127,2001,Bravyi et al. (qiskit),204655,3087,102396
447,11,127,2001,Ewout van den Berg (stim),228335,3958,110292
448,12,127,2001,ours,5769,4013,18335
449,12,127,2001,qiskit transpile,25059,627,12416
450,12,127,2001,Bravyi et al. (qiskit),216952,3398,108662
451,12,127,2001,Ewout van den Berg (stim),232245,4055,113490
452,13,127,2001,ours,6053,4134,18415
453,13,127,2001,qiskit transpile,26380,641,13069
454,13,127,2001,Bravyi et al. (qiskit),221194,3468,110807
455,13,127,2001,Ewout van den Berg (stim),223167,3953,111120
456,14,127,2001,ours,5553,3855,17886
457,14,127,2001,qiskit transpile,23531,662,11603
458,14,127,2001,Bravyi et al. (qiskit),191813,3036,97245
459,14,127,2001,Ewout van den Berg (stim),218944,3810,108858
460,15,127,2001,ours,5782,4170,18502
461,15,127,2001,qiskit transpile,25403,674,12582
462,15,127,2001,Bravyi et al. (qiskit),209204,3342,105475
463,15,127,2001,Ewout van den Berg (stim),227282,3879,110683
464,16,127,2001,ours,5906,4121,18280
465,16,127,2001,qiskit transpile,25043,672,12376
466,16,127,2001,Bravyi et al. (qiskit),204570,3161,102715
467,16,127,2001,Ewout van den Berg (stim),223366,3924,110736
468,17,127,2001,ours,5790,4027,18005
469,17,127,2001,qiskit transpile,24295,695,12096
470,17,127,2001,Bravyi et al. (qiskit),210909,3227,106569
471,17,127,2001,Ewout van den Berg (stim),220237,3841,108989
472,18,127,2001,ours,6058,4192,18528
473,18,127,2001,qiskit transpile,25994,621,12928
474,18,127,2001,Bravyi et al. (qiskit),217603,3360,109019
475,18,127,2001,Ewout van den Berg (stim),241335,4132,115401
476,19,127,2001,ours,5911,4136,18469
477,19,127,2001,qiskit transpile,26738,617,13398
478,19,127,2001,Bravyi et al. (qiskit),217265,3312,108695
479,19,127,2001,Ewout van den Berg (stim),227904,4004,111624
480,0,127,2401,ours,5920,4070,18688
481,0,127,2401,qiskit transpile,31200,809,15598
482,0,127,2401,Bravyi et al. (qiskit),220741,3551,111204
483,0,127,2401,Ewout van den Berg (stim),239052,4202,114901
484,1,127,2401,ours,5935,4255,18913
485,1,127,2401,qiskit transpile,31408,785,15580
486,1,127,2401,Bravyi et al. (qiskit),225122,3605,112967
487,1,127,2401,Ewout van den Berg (stim),234001,4058,111820
488,2,127,2401,ours,6035,4254,18684
489,2,127,2401,qiskit transpile,31322,809,15569
490,2,127,2401,Bravyi et al. (qiskit),228100,3602,114964
491,2,127,2401,Ewout van den Berg (stim),235581,4236,116294
492,3,127,2401,ours,5940,4212,18500
493,3,127,2401,qiskit transpile,31009,818,15404
494,3,127,2401,Bravyi et al. (qiskit),222969,3563,112388
495,3,127,2401,Ewout van den Berg (stim),228332,4143,113749
496,4,127,2401,ours,5925,4229,18636
497,4,127,2401,qiskit transpile,31265,770,15408
498,4,127,2401,Bravyi et al. (qiskit),222689,3540,111337
499,4,127,2401,Ewout van den Berg (stim),235482,4100,114746
500,5,127,2401,ours,6020,4261,18673
501,5,127,2401,qiskit transpile,31346,821,15640
502,5,127,2401,Bravyi et al. (qiskit),227519,3461,114587
