,n_rep,num_qubits,n_gadgets,method,h,s,cx
474,18,65,501,Bravyi et al. (qiskit),411,321,5428
475,18,65,501,Ewout van den Berg (stim),827,314,12478
476,19,65,501,ours,1163,852,3876
477,19,65,501,qiskit transpile,161,156,1829
478,19,65,501,Bravyi et al. (qiskit),429,303,6028
479,19,65,501,Ewout van den Berg (stim),1090,565,17184
480,0,65,601,ours,1130,798,3413
481,0,65,601,qiskit transpile,204,210,1834
482,0,65,601,Bravyi et al. (qiskit),499,353,7596
483,0,65,601,Ewout van den Berg (stim),930,490,14311
484,1,65,601,ours,1306,916,4232
485,1,65,601,qiskit transpile,189,225,1988
486,1,65,601,Bravyi et al. (qiskit),575,469,8815
487,1,65,601,Ewout van den Berg (stim),1167,529,17381
488,2,65,601,ours,1283,932,4225
489,2,65,601,qiskit transpile,194,209,2080
490,2,65,601,Bravyi et al. (qiskit),602,485,10206
491,2,65,601,Ewout van den Berg (stim),1141,629,18091
492,3,65,601,ours,1350,1033,4341
493,3,65,601,qiskit transpile,190,210,2215
494,3,65,601,Bravyi et al. (qiskit),675,546,11781
495,3,65,601,Ewout van den Berg (stim),1223,650,19941
496,4,65,601,ours,1221,877,3918
497,4,65,601,qiskit transpile,219,197,1878
498,4,65,601,Bravyi et al. (qiskit),488,380,7055
499,4,65,601,Ewout van den Berg (stim),966,526,15336
500,5,65,601,ours,1152,876,3866
501,5,65,601,qiskit transpile,213,188,2071
502,5,65,601,Bravyi et al. (qiskit),623,496,10290
503,5,65,601,Ewout van den Berg (stim),1138,543,18264
504,6,65,601,ours,1366,985,4273
505,6,65,601,qiskit transpile,217,183,2132
506,6,65,601,Bravyi et al. (qiskit),612,408,9045
507,6,65,601,Ewout van den Berg (stim),1033,518,15950
508,7,65,601,ours,1312,962,4309
509,7,65,601,qiskit transpile,191,186,2358
510,7,65,601,Bravyi et al. (qiskit),704,547,12453
511,7,65,601,Ewout van den Berg (stim),1240,639,19188
512,8,65,601,ours,1157,860,4022
513,8,65,601,qiskit transpile,209,219,1707
514,8,65,601,Bravyi et al. (qiskit),443,308,6313
515,8,65,601,Ewout van den Berg (stim),1012,516,15531
516,9,65,601,ours,1307,935,4069
517,9,65,601,qiskit transpile,202,196,2053
518,9,65,601,Bravyi et al. (qiskit),577,420,9093
519,9,65,601,Ewout van den Berg (stim),1150,578,18446
520,10,65,601,ours,1267,921,4077
521,10,65,601,qiskit transpile,212,183,2110
522,10,65,601,Bravyi et al. (qiskit),636,470,10123
523,10,65,601,Ewout van den Berg (stim),1063,554,18090
524,11,65,601,ours,1327,983,4121
525,11,65,601,qiskit transpile,202,200,2102
526,11,65,601,Bravyi et al. (qiskit),608,524,10745
527,11,65,601,Ewout van den Berg (stim),1205,669,19919
528,12,65,601,ours,1330,928,4214
529,12,65,601,qiskit transpile,217,188,2078
530,12,65,601,Bravyi et al. (qiskit),556,410,8722
531,12,65,601,Ewout van den Berg (stim),1339,668,21045
532,13,65,601,ours,1307,972,4103
533,13,65,601,qiskit transpile,203,200,2169
534,13,65,601,Bravyi et al. (qiskit),626,454,10169
535,13,65,601,Ewout van den Berg (stim),1216,701,19299
536,14,65,601,ours,1314,918,4308
537,14,65,601,qiskit transpile,181,205,2347
538,14,65,601,Bravyi et al. (qiskit),673,514,10840
539,14,65,601,Ewout van den Berg (stim),1284,705,20552
540,15,65,601,ours,1327,970,4032
541,15,65,601,qiskit transpile,183,207,2351
542,15,65,601,Bravyi et al. (qiskit),758,567,12901
543,15,65,601,Ewout van den Berg (stim),1253,745,21067
544,16,65,601,ours,1169,856,3929
545,16,65,601,qiskit transpile,213,194,2119
546,16,65,601,Bravyi et al. (qiskit),585,450,10018
547,16,65,601,Ewout van den Berg (stim),955,533,15601
548,17,65,601,ours,1204,878,3847
549,17,65,601,qiskit transpile,196,206,1992
550,17,65,601,Bravyi et al. (qiskit),537,377,8069
551,17,65,601,Ewout van den Berg (stim),1010,482,15023
552,18,65,601,ours,1294,948,4117
553,18,65,601,qiskit transpile,195,205,2071
554,18,65,601,Bravyi et al. (qiskit),522,412,7887
555,18,65,601,Ewout van den Berg (stim),1275,658,20049
556,19,65,601,ours,1155,876,3790
557,19,65,601,qiskit transpile,208,199,2020
558,19,65,601,Bravyi et al. (qiskit),562,422,9694
