,n_rep,num_qubits,n_gadgets,method,h,s,cx
435,8,7,101,Ewout van den Berg (stim),23,28,120
436,9,7,101,ours,28,31,42
437,9,7,101,qiskit transpile,44,28,62
438,9,7,101,Bravyi et al. (qiskit),24,28,65
439,9,7,101,Ewout van den Berg (stim),23,24,103
440,10,7,101,ours,18,30,40
441,10,7,101,qiskit transpile,28,34,93
442,10,7,101,Bravyi et al. (qiskit),24,31,63
443,10,7,101,Ewout van den Berg (stim),20,25,104
444,11,7,101,ours,19,41,42
445,11,7,101,qiskit transpile,31,38,107
446,11,7,101,Bravyi et al. (qiskit),30,33,78
447,11,7,101,Ewout van den Berg (stim),25,29,119
448,12,7,101,ours,24,30,41
449,12,7,101,qiskit transpile,32,29,117
450,12,7,101,Bravyi et al. (qiskit),17,21,91
451,12,7,101,Ewout van den Berg (stim),29,27,111
452,13,7,101,ours,25,30,39
453,13,7,101,qiskit transpile,40,31,93
454,13,7,101,Bravyi et al. (qiskit),22,22,82
455,13,7,101,Ewout van den Berg (stim),20,24,105
456,14,7,101,ours,23,35,39
457,14,7,101,qiskit transpile,33,27,117
458,14,7,101,Bravyi et al. (qiskit),21,35,82
459,14,7,101,Ewout van den Berg (stim),25,26,143
460,15,7,101,ours,29,46,40
461,15,7,101,qiskit transpile,32,34,107
462,15,7,101,Bravyi et al. (qiskit),25,33,81
463,15,7,101,Ewout van den Berg (stim),31,30,111
464,16,7,101,ours,21,21,37
465,16,7,101,qiskit transpile,34,29,111
466,16,7,101,Bravyi et al. (qiskit),27,37,71
467,16,7,101,Ewout van den Berg (stim),30,35,129
468,17,7,101,ours,14,30,28
469,17,7,101,qiskit transpile,31,36,100
470,17,7,101,Bravyi et al. (qiskit),26,30,73
471,17,7,101,Ewout van den Berg (stim),22,26,96
472,18,7,101,ours,16,15,39
473,18,7,101,qiskit transpile,33,31,105
474,18,7,101,Bravyi et al. (qiskit),27,30,84
475,18,7,101,Ewout van den Berg (stim),21,37,108
476,19,7,101,ours,25,31,35
477,19,7,101,qiskit transpile,32,41,83
478,19,7,101,Bravyi et al. (qiskit),19,23,68
479,19,7,101,Ewout van den Berg (stim),33,38,101
480,0,7,121,ours,25,36,41
481,0,7,121,qiskit transpile,33,38,141
482,0,7,121,Bravyi et al. (qiskit),29,31,79
483,0,7,121,Ewout van den Berg (stim),19,28,91
484,1,7,121,ours,25,27,41
485,1,7,121,qiskit transpile,43,35,145
486,1,7,121,Bravyi et al. (qiskit),22,20,86
487,1,7,121,Ewout van den Berg (stim),22,25,99
488,2,7,121,ours,25,26,42
489,2,7,121,qiskit transpile,46,38,95
490,2,7,121,Bravyi et al. (qiskit),22,28,64
491,2,7,121,Ewout van den Berg (stim),36,31,120
492,3,7,121,ours,13,25,44
493,3,7,121,qiskit transpile,32,49,118
494,3,7,121,Bravyi et al. (qiskit),23,22,83
495,3,7,121,Ewout van den Berg (stim),34,33,126
496,4,7,121,ours,29,35,45
497,4,7,121,qiskit transpile,42,40,117
498,4,7,121,Bravyi et al. (qiskit),20,27,67
499,4,7,121,Ewout van den Berg (stim),19,19,99
500,5,7,121,ours,26,41,44
501,5,7,121,qiskit transpile,38,45,108
502,5,7,121,Bravyi et al. (qiskit),28,29,64
503,5,7,121,Ewout van den Berg (stim),29,25,106
504,6,7,121,ours,31,37,36
505,6,7,121,qiskit transpile,39,38,144
506,6,7,121,Bravyi et al. (qiskit),28,32,88
507,6,7,121,Ewout van den Berg (stim),32,31,105
508,7,7,121,ours,31,32,46
509,7,7,121,qiskit transpile,31,47,122
510,7,7,121,Bravyi et al. (qiskit),28,36,78
511,7,7,121,Ewout van den Berg (stim),31,33,99
512,8,7,121,ours,30,28,41
513,8,7,121,qiskit transpile,31,51,115
514,8,7,121,Bravyi et al. (qiskit),26,26,69
515,8,7,121,Ewout van den Berg (stim),20,26,92
516,9,7,121,ours,20,27,44
517,9,7,121,qiskit transpile,43,44,91
518,9,7,121,Bravyi et al. (qiskit),25,27,73
519,9,7,121,Ewout van den Berg (stim),30,37,110
520,10,7,121,ours,30,40,42
521,10,7,121,qiskit transpile,43,39,116
522,10,7,121,Bravyi et al. (qiskit),25,28,83
523,10,7,121,Ewout van den Berg (stim),31,32,110
524,11,7,121,ours,29,41,42
525,11,7,121,qiskit transpile,43,38,108
526,11,7,121,Bravyi et al. (qiskit),24,31,79
527,11,7,121,Ewout van den Berg (stim),24,32,96
528,12,7,121,ours,18,19,40
529,12,7,121,qiskit transpile,39,39,127
530,12,7,121,Bravyi et al. (qiskit),20,30,60
531,12,7,121,Ewout van den Berg (stim),22,23,78
532,13,7,121,ours,24,25,41
533,13,7,121,qiskit transpile,42,36,124
534,13,7,121,Bravyi et al. (qiskit),23,35,106
535,13,7,121,Ewout van den Berg (stim),27,22,99
536,14,7,121,ours,31,31,39
537,14,7,121,qiskit transpile,37,49,96
538,14,7,121,Bravyi et al. (qiskit),25,20,61
539,14,7,121,Ewout van den Berg (stim),30,31,123
540,15,7,121,ours,27,36,38
541,15,7,121,qiskit transpile,38,36,126
542,15,7,121,Bravyi et al. (qiskit),16,24,67
543,15,7,121,Ewout van den Berg (stim),28,29,113
544,16,7,121,ours,28,33,39
545,16,7,121,qiskit transpile,42,48,78
546,16,7,121,Bravyi et al. (qiskit),19,27,71
547,16,7,121,Ewout van den Berg (stim),17,17,80
548,17,7,121,ours,32,33,41
549,17,7,121,qiskit transpile,48,43,105
550,17,7,121,Bravyi et al. (qiskit),24,24,85
551,17,7,121,Ewout van den Berg (stim),25,32,115
552,18,7,121,ours,32,36,43
553,18,7,121,qiskit transpile,40,45,111
554,18,7,121,Bravyi et al. (qiskit),25,27,80
