,n_rep,num_qubits,n_gadgets,method,h,s,cx
329,2,65,401,qiskit transpile,129,131,141
330,2,65,401,Bravyi et al. (qiskit),308,236,452
331,2,65,401,Ewout van den Berg (stim),524,271,853
332,3,65,401,ours,620,476,1107
333,3,65,401,qiskit transpile,130,143,128
334,3,65,401,Bravyi et al. (qiskit),257,209,325
335,3,65,401,Ewout van den Berg (stim),470,282,646
336,4,65,401,ours,604,440,1123
337,4,65,401,qiskit transpile,136,126,139
338,4,65,401,Bravyi et al. (qiskit),296,223,432
339,4,65,401,Ewout van den Berg (stim),628,291,1032
340,5,65,401,ours,701,491,1280
341,5,65,401,qiskit transpile,129,133,139
342,5,65,401,Bravyi et al. (qiskit),308,228,448
343,5,65,401,Ewout van den Berg (stim),453,217,720
344,6,65,401,ours,618,455,1121
345,6,65,401,qiskit transpile,143,129,129
346,6,65,401,Bravyi et al. (qiskit),265,197,363
347,6,65,401,Ewout van den Berg (stim),473,232,739
348,7,65,401,ours,624,491,1193
349,7,65,401,qiskit transpile,134,132,135
350,7,65,401,Bravyi et al. (qiskit),287,213,420
351,7,65,401,Ewout van den Berg (stim),590,250,840
352,8,65,401,ours,670,481,1255
353,8,65,401,qiskit transpile,139,134,128
354,8,65,401,Bravyi et al. (qiskit),254,191,386
355,8,65,401,Ewout van den Berg (stim),572,294,851
356,9,65,401,ours,707,549,1319
357,9,65,401,qiskit transpile,138,119,144
358,9,65,401,Bravyi et al. (qiskit),329,253,529
359,9,65,401,Ewout van den Berg (stim),570,253,883
360,10,65,401,ours,538,402,940
361,10,65,401,qiskit transpile,145,143,113
362,10,65,401,Bravyi et al. (qiskit),248,203,339
363,10,65,401,Ewout van den Berg (stim),415,217,526
364,11,65,401,ours,618,485,1152
365,11,65,401,qiskit transpile,140,134,127
366,11,65,401,Bravyi et al. (qiskit),258,221,335
367,11,65,401,Ewout van den Berg (stim),429,251,645
368,12,65,401,ours,473,367,885
369,12,65,401,qiskit transpile,135,140,124
370,12,65,401,Bravyi et al. (qiskit),263,179,323
371,12,65,401,Ewout van den Berg (stim),450,230,642
372,13,65,401,ours,610,428,1105
373,13,65,401,qiskit transpile,142,127,132
374,13,65,401,Bravyi et al. (qiskit),260,225,382
375,13,65,401,Ewout van den Berg (stim),405,225,584
376,14,65,401,ours,657,467,1252
377,14,65,401,qiskit transpile,123,136,140
378,14,65,401,Bravyi et al. (qiskit),314,272,494
379,14,65,401,Ewout van den Berg (stim),585,280,851
380,15,65,401,ours,709,510,1323
381,15,65,401,qiskit transpile,131,128,138
382,15,65,401,Bravyi et al. (qiskit),298,201,467
383,15,65,401,Ewout van den Berg (stim),702,360,1194
384,16,65,401,ours,566,429,1040
385,16,65,401,qiskit transpile,130,132,139
386,16,65,401,Bravyi et al. (qiskit),268,196,418
387,16,65,401,Ewout van den Berg (stim),641,379,1211
388,17,65,401,ours,705,463,1262
389,17,65,401,qiskit transpile,134,136,129
390,17,65,401,Bravyi et al. (qiskit),284,199,410
391,17,65,401,Ewout van den Berg (stim),617,234,909
392,18,65,401,ours,724,571,1324
393,18,65,401,qiskit transpile,109,146,146
394,18,65,401,Bravyi et al. (qiskit),293,252,415
395,18,65,401,Ewout van den Berg (stim),596,289,930
396,19,65,401,ours,598,432,1045
397,19,65,401,qiskit transpile,144,121,134
398,19,65,401,Bravyi et al. (qiskit),289,221,394
399,19,65,401,Ewout van den Berg (stim),373,204,627
400,0,65,501,ours,826,597,1547
401,0,65,501,qiskit transpile,182,141,178
402,0,65,501,Bravyi et al. (qiskit),473,336,809
403,0,65,501,Ewout van den Berg (stim),923,430,1500
404,1,65,501,ours,759,532,1424
405,1,65,501,qiskit transpile,154,183,164
406,1,65,501,Bravyi et al. (qiskit),463,337,756
407,1,65,501,Ewout van den Berg (stim),729,378,1143
408,2,65,501,ours,833,614,1670
409,2,65,501,qiskit transpile,168,163,170
410,2,65,501,Bravyi et al. (qiskit),467,355,822
411,2,65,501,Ewout van den Berg (stim),973,532,1707
412,3,65,501,ours,774,551,1387
413,3,65,501,qiskit transpile,192,162,147
414,3,65,501,Bravyi et al. (qiskit),302,218,435
415,3,65,501,Ewout van den Berg (stim),424,230,608
416,4,65,501,ours,743,552,1365
417,4,65,501,qiskit transpile,173,179,149
418,4,65,501,Bravyi et al. (qiskit),365,245,602
419,4,65,501,Ewout van den Berg (stim),747,316,1148
420,5,65,501,ours,769,538,1416
421,5,65,501,qiskit transpile,163,172,166
422,5,65,501,Bravyi et al. (qiskit),377,279,631
423,5,65,501,Ewout van den Berg (stim),822,422,1355
424,6,65,501,ours,818,575,1439
425,6,65,501,qiskit transpile,174,168,159
426,6,65,501,Bravyi et al. (qiskit),420,295,696
427,6,65,501,Ewout van den Berg (stim),757,367,1215
428,7,65,501,ours,853,618,1614
429,7,65,501,qiskit transpile,162,166,171
430,7,65,501,Bravyi et al. (qiskit),445,310,770
431,7,65,501,Ewout van den Berg (stim),970,447,1605
432,8,65,501,ours,756,607,1458
433,8,65,501,qiskit transpile,180,154,167
434,8,65,501,Bravyi et al. (qiskit),382,265,578
435,8,65,501,Ewout van den Berg (stim),877,388,1474
436,9,65,501,ours,866,633,1570
437,9,65,501,qiskit transpile,166,170,165
438,9,65,501,Bravyi et al. (qiskit),345,244,538
439,9,65,501,Ewout van den Berg (stim),648,263,985
440,10,65,501,ours,786,599,1473
441,10,65,501,qiskit transpile,169,167,163
442,10,65,501,Bravyi et al. (qiskit),413,290,671
443,10,65,501,Ewout van den Berg (stim),1072,443,1773
444,11,65,501,ours,706,477,1211
445,11,65,501,qiskit transpile,176,172,153
