,n_rep,num_qubits,n_gadgets,method,h,s,cx
470,17,16,101,Bravyi et al. (qiskit),51,50,67
471,17,16,101,Ewout van den Berg (stim),73,63,112
472,18,16,101,ours,82,79,122
473,18,16,101,qiskit transpile,41,27,33
474,18,16,101,Bravyi et al. (qiskit),61,64,59
475,18,16,101,Ewout van den Berg (stim),58,47,73
476,19,16,101,ours,72,63,97
477,19,16,101,qiskit transpile,30,34,35
478,19,16,101,Bravyi et al. (qiskit),58,56,82
479,19,16,101,Ewout van den Berg (stim),89,71,134
480,0,16,121,ours,85,81,140
481,0,16,121,qiskit transpile,32,41,48
482,0,16,121,Bravyi et al. (qiskit),75,74,124
483,0,16,121,Ewout van den Berg (stim),101,77,161
484,1,16,121,ours,77,64,92
485,1,16,121,qiskit transpile,33,49,37
486,1,16,121,Bravyi et al. (qiskit),54,52,63
487,1,16,121,Ewout van den Berg (stim),86,68,104
488,2,16,121,ours,62,66,91
489,2,16,121,qiskit transpile,39,46,34
490,2,16,121,Bravyi et al. (qiskit),48,51,64
491,2,16,121,Ewout van den Berg (stim),59,55,86
492,3,16,121,ours,73,74,128
493,3,16,121,qiskit transpile,44,35,40
494,3,16,121,Bravyi et al. (qiskit),70,59,99
495,3,16,121,Ewout van den Berg (stim),104,89,162
496,4,16,121,ours,75,75,109
497,4,16,121,qiskit transpile,49,32,40
498,4,16,121,Bravyi et al. (qiskit),65,58,94
499,4,16,121,Ewout van den Berg (stim),101,62,150
500,5,16,121,ours,73,83,95
501,5,16,121,qiskit transpile,33,42,44
502,5,16,121,Bravyi et al. (qiskit),55,57,76
503,5,16,121,Ewout van den Berg (stim),70,54,110
504,6,16,121,ours,59,58,73
505,6,16,121,qiskit transpile,40,47,34
506,6,16,121,Bravyi et al. (qiskit),48,47,46
507,6,16,121,Ewout van den Berg (stim),68,54,65
508,7,16,121,ours,85,75,125
509,7,16,121,qiskit transpile,35,38,48
510,7,16,121,Bravyi et al. (qiskit),67,58,97
511,7,16,121,Ewout van den Berg (stim),72,58,126
512,8,16,121,ours,71,86,117
513,8,16,121,qiskit transpile,40,38,43
514,8,16,121,Bravyi et al. (qiskit),53,56,81
515,8,16,121,Ewout van den Berg (stim),79,81,115
516,9,16,121,ours,94,87,145
517,9,16,121,qiskit transpile,34,35,50
518,9,16,121,Bravyi et al. (qiskit),63,64,101
519,9,16,121,Ewout van den Berg (stim),103,70,140
520,10,16,121,ours,70,65,121
521,10,16,121,qiskit transpile,43,35,43
522,10,16,121,Bravyi et al. (qiskit),75,45,93
523,10,16,121,Ewout van den Berg (stim),84,61,136
524,11,16,121,ours,64,72,108
525,11,16,121,qiskit transpile,45,37,39
526,11,16,121,Bravyi et al. (qiskit),60,57,86
527,11,16,121,Ewout van den Berg (stim),91,77,131
528,12,16,121,ours,66,74,95
529,12,16,121,qiskit transpile,42,41,38
530,12,16,121,Bravyi et al. (qiskit),59,61,87
531,12,16,121,Ewout van den Berg (stim),76,64,101
532,13,16,121,ours,82,76,133
533,13,16,121,qiskit transpile,33,44,44
534,13,16,121,Bravyi et al. (qiskit),73,61,132
535,13,16,121,Ewout van den Berg (stim),96,93,150
536,14,16,121,ours,64,59,79
537,14,16,121,qiskit transpile,48,39,34
538,14,16,121,Bravyi et al. (qiskit),59,58,61
539,14,16,121,Ewout van den Berg (stim),73,54,103
540,15,16,121,ours,76,67,133
541,15,16,121,qiskit transpile,45,35,41
542,15,16,121,Bravyi et al. (qiskit),57,61,105
543,15,16,121,Ewout van den Berg (stim),87,82,157
544,16,16,121,ours,64,68,117
545,16,16,121,qiskit transpile,38,40,41
546,16,16,121,Bravyi et al. (qiskit),51,61,85
547,16,16,121,Ewout van den Berg (stim),92,73,152
548,17,16,121,ours,65,68,116
549,17,16,121,qiskit transpile,43,40,38
550,17,16,121,Bravyi et al. (qiskit),61,70,90
551,17,16,121,Ewout van den Berg (stim),98,55,141
552,18,16,121,ours,88,84,125
553,18,16,121,qiskit transpile,44,31,42
554,18,16,121,Bravyi et al. (qiskit),70,63,102
555,18,16,121,Ewout van den Berg (stim),91,63,130
556,19,16,121,ours,80,86,107
557,19,16,121,qiskit transpile,35,47,39
558,19,16,121,Bravyi et al. (qiskit),66,66,88
559,19,16,121,Ewout van den Berg (stim),71,55,101
560,0,16,141,ours,83,80,136
561,0,16,141,qiskit transpile,54,41,46
562,0,16,141,Bravyi et al. (qiskit),62,66,87
563,0,16,141,Ewout van den Berg (stim),82,85,139
564,1,16,141,ours,68,70,104
565,1,16,141,qiskit transpile,57,50,32
566,1,16,141,Bravyi et al. (qiskit),48,43,64
567,1,16,141,Ewout van den Berg (stim),83,59,103
568,2,16,141,ours,72,60,120
569,2,16,141,qiskit transpile,45,47,47
570,2,16,141,Bravyi et al. (qiskit),56,58,97
571,2,16,141,Ewout van den Berg (stim),98,78,166
572,3,16,141,ours,65,87,104
573,3,16,141,qiskit transpile,50,48,43
574,3,16,141,Bravyi et al. (qiskit),58,57,83
575,3,16,141,Ewout van den Berg (stim),73,55,97
576,4,16,141,ours,75,69,137
577,4,16,141,qiskit transpile,43,57,37
578,4,16,141,Bravyi et al. (qiskit),58,56,93
579,4,16,141,Ewout van den Berg (stim),79,73,145
580,5,16,141,ours,75,69,115
581,5,16,141,qiskit transpile,55,44,38
582,5,16,141,Bravyi et al. (qiskit),59,47,68
583,5,16,141,Ewout van den Berg (stim),75,53,116
584,6,16,141,ours,100,101,136
585,6,16,141,qiskit transpile,39,53,47
586,6,16,141,Bravyi et al. (qiskit),71,74,106
587,6,16,141,Ewout van den Berg (stim),109,75,161
588,7,16,141,ours,88,92,131
589,7,16,141,qiskit transpile,58,35,48
